year,region_type,region_year_spec,region_id,region_level,cozeb
2011,NUTS,2010,AT,0,749094
2011,NUTS,2010,BE,0,87155
2011,NUTS,2010,BG,0,174712
2011,NUTS,2010,CH,0,960119
2011,NUTS,2010,CY,0,912218
2011,NUTS,2010,CZ,0,181239
2011,NUTS,2010,DE,0,704852
2011,NUTS,2010,DK,0,729031
2011,NUTS,2010,EE,0,514098
2011,NUTS,2010,EL,0,627401
2011,NUTS,2010,ES,0,200618
2011,NUTS,2010,FI,0,232003
2011,NUTS,2010,FR,0,433553
2011,NUTS,2010,HR,0,849765
2011,NUTS,2010,HU,0,771139
2011,NUTS,2010,IE,0,613082
2011,NUTS,2010,IS,0,602578
2011,NUTS,2010,IT,0,375335
2011,NUTS,2010,LI,0,302508
2011,NUTS,2010,LT,0,151470
2011,NUTS,2010,LU,0,18575
2011,NUTS,2010,LV,0,98305
2011,NUTS,2010,ME,0,101155
2011,NUTS,2010,MK,0,710845
2011,NUTS,2010,MT,0,834606
2011,NUTS,2010,NL,0,159552
2011,NUTS,2010,NO,0,318085
2011,NUTS,2010,PL,0,858694
2011,NUTS,2010,PT,0,487707
2011,NUTS,2010,RO,0,611244
2011,NUTS,2010,SE,0,275742
2011,NUTS,2010,SI,0,441018
2011,NUTS,2010,SK,0,707225
2011,NUTS,2010,TR,0,731379
2011,NUTS,2010,UK,0,269899
2011,NUTS,2010,AT1,1,311280
2011,NUTS,2010,AT2,1,305196
2011,NUTS,2010,AT3,1,350673
2011,NUTS,2010,BE1,1,467022
2011,NUTS,2010,BE2,1,670901
2011,NUTS,2010,BE3,1,815056
2011,NUTS,2010,BG3,1,491385
2011,NUTS,2010,BG4,1,303987
2011,NUTS,2010,CH0,1,133947
2011,NUTS,2010,CY0,1,996095
2011,NUTS,2010,CZ0,1,600168
2011,NUTS,2010,DE1,1,149046
2011,NUTS,2010,DE2,1,362726
2011,NUTS,2010,DE3,1,803801
2011,NUTS,2010,DE4,1,523649
2011,NUTS,2010,DE5,1,674547
2011,NUTS,2010,DE6,1,805222
2011,NUTS,2010,DE7,1,677346
2011,NUTS,2010,DE8,1,776244
2011,NUTS,2010,DE9,1,783074
2011,NUTS,2010,DEA,1,478158
2011,NUTS,2010,DEB,1,694799
2011,NUTS,2010,DEC,1,299013
2011,NUTS,2010,DED,1,892134
2011,NUTS,2010,DEE,1,123433
2011,NUTS,2010,DEF,1,699682
2011,NUTS,2010,DEG,1,192353
2011,NUTS,2010,DK0,1,17433
2011,NUTS,2010,EE0,1,187378
2011,NUTS,2010,EL1,1,448590
2011,NUTS,2010,EL2,1,774055
2011,NUTS,2010,EL3,1,857145
2011,NUTS,2010,EL4,1,44724
2011,NUTS,2010,ES1,1,617600
2011,NUTS,2010,ES2,1,104956
2011,NUTS,2010,ES3,1,361009
2011,NUTS,2010,ES4,1,298781
2011,NUTS,2010,ES5,1,398900
2011,NUTS,2010,ES6,1,759641
2011,NUTS,2010,ES7,1,399864
2011,NUTS,2010,FI1,1,902393
2011,NUTS,2010,FI2,1,909968
2011,NUTS,2010,FR1,1,526372
2011,NUTS,2010,FR2,1,430903
2011,NUTS,2010,FR3,1,664941
2011,NUTS,2010,FR4,1,249769
2011,NUTS,2010,FR5,1,910281
2011,NUTS,2010,FR6,1,964888
2011,NUTS,2010,FR7,1,844371
2011,NUTS,2010,FR8,1,993581
2011,NUTS,2010,FR9,1,956467
2011,NUTS,2010,HR0,1,849807
2011,NUTS,2010,HU1,1,166493
2011,NUTS,2010,HU2,1,718521
2011,NUTS,2010,HU3,1,21746
2011,NUTS,2010,IE0,1,340675
2011,NUTS,2010,IS0,1,617059
2011,NUTS,2010,ITC,1,355539
2011,NUTS,2010,ITF,1,778011
2011,NUTS,2010,ITG,1,748080
2011,NUTS,2010,ITH,1,787017
2011,NUTS,2010,ITI,1,355251
2011,NUTS,2010,LI0,1,556256
2011,NUTS,2010,LT0,1,215222
2011,NUTS,2010,LU0,1,49683
2011,NUTS,2010,LV0,1,812969
2011,NUTS,2010,ME0,1,861516
2011,NUTS,2010,MK0,1,549405
2011,NUTS,2010,MT0,1,176452
2011,NUTS,2010,NL1,1,490352
2011,NUTS,2010,NL2,1,65740
2011,NUTS,2010,NL3,1,818059
2011,NUTS,2010,NL4,1,758211
2011,NUTS,2010,NO0,1,902982
2011,NUTS,2010,N_A,1,381443
2011,NUTS,2010,PL1,1,761467
2011,NUTS,2010,PL2,1,124201
2011,NUTS,2010,PL3,1,788788
2011,NUTS,2010,PL4,1,349448
2011,NUTS,2010,PL5,1,380505
2011,NUTS,2010,PL6,1,250399
2011,NUTS,2010,PT1,1,562777
2011,NUTS,2010,PT2,1,271435
2011,NUTS,2010,PT3,1,585518
2011,NUTS,2010,RO1,1,17759
2011,NUTS,2010,RO2,1,300180
2011,NUTS,2010,RO3,1,171048
2011,NUTS,2010,RO4,1,294982
2011,NUTS,2010,SE1,1,692533
2011,NUTS,2010,SE2,1,628839
2011,NUTS,2010,SE3,1,79900
2011,NUTS,2010,SI0,1,521804
2011,NUTS,2010,SK0,1,256045
2011,NUTS,2010,TR1,1,126166
2011,NUTS,2010,TR2,1,462852
2011,NUTS,2010,TR3,1,401412
2011,NUTS,2010,TR4,1,778905
2011,NUTS,2010,TR5,1,214773
2011,NUTS,2010,TR6,1,240763
2011,NUTS,2010,TR7,1,943461
2011,NUTS,2010,TR8,1,785711
2011,NUTS,2010,TR9,1,669810
2011,NUTS,2010,TRA,1,460488
2011,NUTS,2010,TRB,1,782553
2011,NUTS,2010,TRC,1,608522
2011,NUTS,2010,UKC,1,9681
2011,NUTS,2010,UKD,1,509602
2011,NUTS,2010,UKE,1,510882
2011,NUTS,2010,UKF,1,481440
2011,NUTS,2010,UKG,1,506646
2011,NUTS,2010,UKH,1,218297
2011,NUTS,2010,UKI,1,475074
2011,NUTS,2010,UKJ,1,53370
2011,NUTS,2010,UKK,1,28497
2011,NUTS,2010,UKL,1,462814
2011,NUTS,2010,UKM,1,401201
2011,NUTS,2010,UKN,1,521576
2011,NUTS,2010,AT11,2,194041
2011,NUTS,2010,AT12,2,383205
2011,NUTS,2010,AT13,2,531266
2011,NUTS,2010,AT21,2,785945
2011,NUTS,2010,AT22,2,235465
2011,NUTS,2010,AT31,2,868060
2011,NUTS,2010,AT32,2,511550
2011,NUTS,2010,AT33,2,41970
2011,NUTS,2010,AT34,2,514693
2011,NUTS,2010,BE10,2,804549
2011,NUTS,2010,BE21,2,498884
2011,NUTS,2010,BE22,2,63852
2011,NUTS,2010,BE23,2,704702
2011,NUTS,2010,BE24,2,179678
2011,NUTS,2010,BE25,2,391379
2011,NUTS,2010,BE31,2,891119
2011,NUTS,2010,BE32,2,463160
2011,NUTS,2010,BE33,2,431590
2011,NUTS,2010,BE34,2,781120
2011,NUTS,2010,BE35,2,256445
2011,NUTS,2010,BG31,2,469471
2011,NUTS,2010,BG32,2,629138
2011,NUTS,2010,BG33,2,280453
2011,NUTS,2010,BG34,2,846159
2011,NUTS,2010,BG41,2,460984
2011,NUTS,2010,BG42,2,780123
2011,NUTS,2010,CH01,2,179315
2011,NUTS,2010,CH02,2,437395
2011,NUTS,2010,CH03,2,84497
2011,NUTS,2010,CH04,2,841575
2011,NUTS,2010,CH05,2,8057
2011,NUTS,2010,CH06,2,270912
