year,region_type,region_year_spec,region_id,region_level,ranie
2008,NUTS,2006,AT,0,65
2008,NUTS,2006,BE,0,10
2008,NUTS,2006,BG,0,8
2008,NUTS,2006,CH,0,3
2008,NUTS,2006,CY,0,19
2008,NUTS,2006,CZ,0,89
2008,NUTS,2006,DE,0,24
2008,NUTS,2006,DK,0,61
2008,NUTS,2006,EE,0,51
2008,NUTS,2006,ES,0,86
2008,NUTS,2006,FI,0,20
2008,NUTS,2006,FR,0,80
2008,NUTS,2006,GR,0,6
2008,NUTS,2006,HR,0,45
2008,NUTS,2006,HU,0,81
2008,NUTS,2006,IE,0,48
2008,NUTS,2006,IS,0,35
2008,NUTS,2006,IT,0,1
2008,NUTS,2006,LI,0,95
2008,NUTS,2006,LT,0,92
2008,NUTS,2006,LU,0,63
2008,NUTS,2006,LV,0,50
2008,NUTS,2006,ME,0,66
2008,NUTS,2006,MK,0,64
2008,NUTS,2006,MT,0,12
2008,NUTS,2006,NL,0,59
2008,NUTS,2006,NO,0,80
2008,NUTS,2006,PL,0,16
2008,NUTS,2006,PT,0,76
2008,NUTS,2006,RO,0,29
2008,NUTS,2006,SE,0,76
2008,NUTS,2006,SI,0,6
2008,NUTS,2006,SK,0,77
2008,NUTS,2006,TR,0,61
2008,NUTS,2006,UK,0,88
2008,NUTS,2006,AT1,1,9
2008,NUTS,2006,AT2,1,31
2008,NUTS,2006,AT3,1,1
2008,NUTS,2006,BE1,1,71
2008,NUTS,2006,BE2,1,20
2008,NUTS,2006,BE3,1,23
2008,NUTS,2006,BG3,1,4
2008,NUTS,2006,BG4,1,53
2008,NUTS,2006,CH0,1,87
2008,NUTS,2006,CY0,1,79
2008,NUTS,2006,CZ0,1,41
2008,NUTS,2006,DE1,1,51
2008,NUTS,2006,DE2,1,39
2008,NUTS,2006,DE3,1,69
2008,NUTS,2006,DE4,1,88
2008,NUTS,2006,DE5,1,90
2008,NUTS,2006,DE6,1,24
2008,NUTS,2006,DE7,1,37
2008,NUTS,2006,DE8,1,25
2008,NUTS,2006,DE9,1,52
2008,NUTS,2006,DEA,1,5
2008,NUTS,2006,DEB,1,63
2008,NUTS,2006,DEC,1,37
2008,NUTS,2006,DED,1,96
2008,NUTS,2006,DEE,1,64
2008,NUTS,2006,DEF,1,46
2008,NUTS,2006,DEG,1,97
2008,NUTS,2006,DK0,1,83
2008,NUTS,2006,EE0,1,54
2008,NUTS,2006,ES1,1,80
2008,NUTS,2006,ES2,1,73
2008,NUTS,2006,ES3,1,23
2008,NUTS,2006,ES4,1,41
2008,NUTS,2006,ES5,1,60
2008,NUTS,2006,ES6,1,81
2008,NUTS,2006,ES7,1,40
2008,NUTS,2006,FI1,1,72
2008,NUTS,2006,FI2,1,13
2008,NUTS,2006,FR1,1,60
2008,NUTS,2006,FR2,1,27
2008,NUTS,2006,FR3,1,31
2008,NUTS,2006,FR4,1,77
2008,NUTS,2006,FR5,1,77
2008,NUTS,2006,FR6,1,14
2008,NUTS,2006,FR7,1,51
2008,NUTS,2006,FR8,1,81
2008,NUTS,2006,FR9,1,14
2008,NUTS,2006,GR1,1,27
2008,NUTS,2006,GR2,1,30
2008,NUTS,2006,GR3,1,17
2008,NUTS,2006,GR4,1,54
2008,NUTS,2006,HR0,1,97
2008,NUTS,2006,HU1,1,41
2008,NUTS,2006,HU2,1,70
2008,NUTS,2006,HU3,1,85
2008,NUTS,2006,IE0,1,37
2008,NUTS,2006,IS0,1,86
2008,NUTS,2006,ITC,1,64
2008,NUTS,2006,ITD,1,33
2008,NUTS,2006,ITE,1,27
2008,NUTS,2006,ITF,1,72
2008,NUTS,2006,ITG,1,69
2008,NUTS,2006,LI0,1,93
2008,NUTS,2006,LT0,1,37
2008,NUTS,2006,LU0,1,43
2008,NUTS,2006,LV0,1,31
2008,NUTS,2006,ME0,1,68
2008,NUTS,2006,MK0,1,49
2008,NUTS,2006,MT0,1,86
2008,NUTS,2006,NL1,1,3
2008,NUTS,2006,NL2,1,92
2008,NUTS,2006,NL3,1,49
2008,NUTS,2006,NL4,1,71
2008,NUTS,2006,NO0,1,37
2008,NUTS,2006,PL1,1,91
2008,NUTS,2006,PL2,1,64
2008,NUTS,2006,PL3,1,39
2008,NUTS,2006,PL4,1,73
2008,NUTS,2006,PL5,1,66
2008,NUTS,2006,PL6,1,99
2008,NUTS,2006,PT1,1,97
2008,NUTS,2006,PT2,1,45
2008,NUTS,2006,PT3,1,63
2008,NUTS,2006,RO1,1,9
2008,NUTS,2006,RO2,1,45
2008,NUTS,2006,RO3,1,14
2008,NUTS,2006,RO4,1,18
2008,NUTS,2006,SE1,1,6
2008,NUTS,2006,SE2,1,6
2008,NUTS,2006,SE3,1,12
2008,NUTS,2006,SI0,1,52
2008,NUTS,2006,SK0,1,40
2008,NUTS,2006,TR1,1,45
2008,NUTS,2006,TR2,1,92
2008,NUTS,2006,TR3,1,45
2008,NUTS,2006,TR4,1,72
2008,NUTS,2006,TR5,1,5
2008,NUTS,2006,TR6,1,62
2008,NUTS,2006,TR7,1,75
2008,NUTS,2006,TR8,1,26
2008,NUTS,2006,TR9,1,95
2008,NUTS,2006,TRA,1,16
2008,NUTS,2006,TRB,1,13
2008,NUTS,2006,TRC,1,4
2008,NUTS,2006,UKC,1,63
2008,NUTS,2006,UKD,1,75
2008,NUTS,2006,UKE,1,22
2008,NUTS,2006,UKF,1,74
2008,NUTS,2006,UKG,1,16
2008,NUTS,2006,UKH,1,85
2008,NUTS,2006,UKI,1,44
2008,NUTS,2006,UKJ,1,46
2008,NUTS,2006,UKK,1,54
2008,NUTS,2006,UKL,1,92
2008,NUTS,2006,UKM,1,33
2008,NUTS,2006,UKN,1,21
2008,NUTS,2006,AT11,2,15
2008,NUTS,2006,AT12,2,10
2008,NUTS,2006,AT13,2,39
2008,NUTS,2006,AT21,2,78
2008,NUTS,2006,AT22,2,95
2008,NUTS,2006,AT31,2,66
2008,NUTS,2006,AT32,2,27
2008,NUTS,2006,AT33,2,72
2008,NUTS,2006,AT34,2,18
2008,NUTS,2006,BE10,2,36
2008,NUTS,2006,BE21,2,16
2008,NUTS,2006,BE22,2,6
2008,NUTS,2006,BE23,2,60
2008,NUTS,2006,BE24,2,18
2008,NUTS,2006,BE25,2,80
2008,NUTS,2006,BE31,2,38
2008,NUTS,2006,BE32,2,29
2008,NUTS,2006,BE33,2,68
2008,NUTS,2006,BE34,2,79
2008,NUTS,2006,BE35,2,65
2008,NUTS,2006,BG31,2,96
2008,NUTS,2006,BG32,2,66
2008,NUTS,2006,BG33,2,35
2008,NUTS,2006,BG34,2,69
2008,NUTS,2006,BG41,2,34
2008,NUTS,2006,BG42,2,71
2008,NUTS,2006,CH01,2,81
2008,NUTS,2006,CH02,2,39
2008,NUTS,2006,CH03,2,29
2008,NUTS,2006,CH04,2,29
2008,NUTS,2006,CH05,2,86
2008,NUTS,2006,CH06,2,5
2008,NUTS,2006,CH07,2,78
2008,NUTS,2006,CY00,2,78
2008,NUTS,2006,CZ01,2,37
2008,NUTS,2006,CZ02,2,49
2008,NUTS,2006,CZ03,2,99
2008,NUTS,2006,CZ04,2,17
2008,NUTS,2006,CZ05,2,67
2008,NUTS,2006,CZ06,2,26
2008,NUTS,2006,CZ07,2,54
2008,NUTS,2006,CZ08,2,4
2008,NUTS,2006,DE11,2,99
2008,NUTS,2006,DE12,2,46
2008,NUTS,2006,DE13,2,35
2008,NUTS,2006,DE14,2,1
2008,NUTS,2006,DE21,2,18
2008,NUTS,2006,DE22,2,63
2008,NUTS,2006,DE23,2,17
2008,NUTS,2006,DE24,2,50
2008,NUTS,2006,DE25,2,29
2008,NUTS,2006,DE26,2,6
2008,NUTS,2006,DE27,2,93
2008,NUTS,2006,DE30,2,47
2008,NUTS,2006,DE41,2,86
2008,NUTS,2006,DE42,2,60
2008,NUTS,2006,DE50,2,6
2008,NUTS,2006,DE60,2,36
2008,NUTS,2006,DE71,2,54
2008,NUTS,2006,DE72,2,16
2008,NUTS,2006,DE73,2,32
2008,NUTS,2006,DE80,2,49
2008,NUTS,2006,DE91,2,59
2008,NUTS,2006,DE92,2,42
2008,NUTS,2006,DE93,2,67
2008,NUTS,2006,DE94,2,18
2008,NUTS,2006,DEA1,2,46
2008,NUTS,2006,DEA2,2,68
2008,NUTS,2006,DEA3,2,65
2008,NUTS,2006,DEA4,2,77
2008,NUTS,2006,DEA5,2,95
2008,NUTS,2006,DEB1,2,26
2008,NUTS,2006,DEB2,2,82
2008,NUTS,2006,DEB3,2,10
2008,NUTS,2006,DEC0,2,69
2008,NUTS,2006,DED1,2,23
2008,NUTS,2006,DED2,2,79
2008,NUTS,2006,DED3,2,71
2008,NUTS,2006,DEE0,2,3
2008,NUTS,2006,DEF0,2,28
2008,NUTS,2006,DEG0,2,38
2008,NUTS,2006,DK01,2,81
2008,NUTS,2006,DK02,2,7
2008,NUTS,2006,DK03,2,63
2008,NUTS,2006,DK04,2,77
2008,NUTS,2006,DK05,2,43
2008,NUTS,2006,EE00,2,10
2008,NUTS,2006,ES11,2,95
2008,NUTS,2006,ES12,2,73
2008,NUTS,2006,ES13,2,32
2008,NUTS,2006,ES21,2,68
2008,NUTS,2006,ES22,2,57
2008,NUTS,2006,ES23,2,16
2008,NUTS,2006,ES24,2,53
2008,NUTS,2006,ES30,2,34
2008,NUTS,2006,ES41,2,38
2008,NUTS,2006,ES42,2,73
2008,NUTS,2006,ES43,2,29
2008,NUTS,2006,ES51,2,20
2008,NUTS,2006,ES52,2,98
2008,NUTS,2006,ES53,2,64
2008,NUTS,2006,ES61,2,3
2008,NUTS,2006,ES62,2,43
2008,NUTS,2006,ES63,2,53
2008,NUTS,2006,ES64,2,78
2008,NUTS,2006,ES70,2,91
2008,NUTS,2006,FI13,2,53
2008,NUTS,2006,FI18,2,91
2008,NUTS,2006,FI19,2,66
2008,NUTS,2006,FI1A,2,30
2008,NUTS,2006,FI20,2,27
2008,NUTS,2006,FR10,2,86
2008,NUTS,2006,FR21,2,23
2008,NUTS,2006,FR22,2,75
2008,NUTS,2006,FR23,2,79
2008,NUTS,2006,FR24,2,38
2008,NUTS,2006,FR25,2,84
2008,NUTS,2006,FR26,2,43
2008,NUTS,2006,FR30,2,46
2008,NUTS,2006,FR41,2,72
2008,NUTS,2006,FR42,2,36
2008,NUTS,2006,FR43,2,90
2008,NUTS,2006,FR51,2,97
2008,NUTS,2006,FR52,2,39
2008,NUTS,2006,FR53,2,83
2008,NUTS,2006,FR61,2,72
2008,NUTS,2006,FR62,2,78
2008,NUTS,2006,FR63,2,68
2008,NUTS,2006,FR71,2,63
2008,NUTS,2006,FR72,2,11
2008,NUTS,2006,FR81,2,100
2008,NUTS,2006,FR82,2,39
2008,NUTS,2006,FR83,2,91
2008,NUTS,2006,FR91,2,60
2008,NUTS,2006,FR92,2,29
2008,NUTS,2006,FR93,2,66
2008,NUTS,2006,FR94,2,67
2008,NUTS,2006,GR11,2,32
2008,NUTS,2006,GR12,2,89
2008,NUTS,2006,GR13,2,32
2008,NUTS,2006,GR14,2,51
2008,NUTS,2006,GR21,2,43
2008,NUTS,2006,GR22,2,42
2008,NUTS,2006,GR23,2,19
2008,NUTS,2006,GR24,2,91
2008,NUTS,2006,GR25,2,12
2008,NUTS,2006,GR30,2,48
2008,NUTS,2006,GR41,2,20
2008,NUTS,2006,GR42,2,53
2008,NUTS,2006,GR43,2,17
2008,NUTS,2006,HR01,2,27
2008,NUTS,2006,HR02,2,39
2008,NUTS,2006,HR03,2,62
2008,NUTS,2006,HU10,2,32
2008,NUTS,2006,HU21,2,48
2008,NUTS,2006,HU22,2,32
2008,NUTS,2006,HU23,2,7
2008,NUTS,2006,HU31,2,52
2008,NUTS,2006,HU32,2,54
2008,NUTS,2006,HU33,2,69
2008,NUTS,2006,IE01,2,73
2008,NUTS,2006,IE02,2,66
2008,NUTS,2006,IS00,2,95
2008,NUTS,2006,ITC1,2,32
2008,NUTS,2006,ITC2,2,55
2008,NUTS,2006,ITC3,2,83
2008,NUTS,2006,ITC4,2,28
2008,NUTS,2006,ITD1,2,26
2008,NUTS,2006,ITD2,2,71
2008,NUTS,2006,ITD3,2,12
2008,NUTS,2006,ITD4,2,50
2008,NUTS,2006,ITD5,2,94
2008,NUTS,2006,ITE1,2,56
2008,NUTS,2006,ITE2,2,69
2008,NUTS,2006,ITE3,2,32
2008,NUTS,2006,ITE4,2,94
2008,NUTS,2006,ITF1,2,28
2008,NUTS,2006,ITF2,2,90
2008,NUTS,2006,ITF3,2,18
2008,NUTS,2006,ITF4,2,88
2008,NUTS,2006,ITF5,2,56
2008,NUTS,2006,ITF6,2,100
2008,NUTS,2006,ITG1,2,45
2008,NUTS,2006,ITG2,2,16
2008,NUTS,2006,LI00,2,100
2008,NUTS,2006,LT00,2,36
2008,NUTS,2006,LU00,2,54
2008,NUTS,2006,LV00,2,21
2008,NUTS,2006,ME00,2,47
2008,NUTS,2006,MK00,2,87
2008,NUTS,2006,MT00,2,6
2008,NUTS,2006,NL11,2,64
2008,NUTS,2006,NL12,2,7
2008,NUTS,2006,NL13,2,45
2008,NUTS,2006,NL21,2,36
2008,NUTS,2006,NL22,2,44
2008,NUTS,2006,NL23,2,23
2008,NUTS,2006,NL31,2,15
2008,NUTS,2006,NL32,2,20
2008,NUTS,2006,NL33,2,8
2008,NUTS,2006,NL34,2,100
2008,NUTS,2006,NL41,2,1
