year,region_type,region_year_spec,region_id,region_level,utota
2010,NUTS,2010,AT,0,6605333
2010,NUTS,2010,BE,0,31460140
2010,NUTS,2010,BG,0,43677608
2010,NUTS,2010,CH,0,69439304
2010,NUTS,2010,CY,0,42760
2010,NUTS,2010,CZ,0,3740041
2010,NUTS,2010,DE,0,33727199
2010,NUTS,2010,DK,0,31082973
2010,NUTS,2010,EE,0,28422146
2010,NUTS,2010,EL,0,82831577
2010,NUTS,2010,ES,0,5173171
2010,NUTS,2010,FI,0,5737391
2010,NUTS,2010,FR,0,86749353
2010,NUTS,2010,HR,0,84762312
2010,NUTS,2010,HU,0,67085662
2010,NUTS,2010,IE,0,39669369
2010,NUTS,2010,IS,0,13263731
2010,NUTS,2010,IT,0,79208280
2010,NUTS,2010,LI,0,85729587
2010,NUTS,2010,LT,0,98012867
2010,NUTS,2010,LU,0,89899006
2010,NUTS,2010,LV,0,59618182
2010,NUTS,2010,ME,0,87081803
2010,NUTS,2010,MK,0,87653366
2010,NUTS,2010,MT,0,96412387
2010,NUTS,2010,NL,0,38580890
2010,NUTS,2010,NO,0,45547933
2010,NUTS,2010,PL,0,44401713
2010,NUTS,2010,PT,0,47738754
2010,NUTS,2010,RO,0,98057189
2010,NUTS,2010,SE,0,86888585
2010,NUTS,2010,SI,0,83587615
2010,NUTS,2010,SK,0,38382942
2010,NUTS,2010,TR,0,43138068
2010,NUTS,2010,UK,0,93885743
2010,NUTS,2010,AT1,1,86658799
2010,NUTS,2010,AT2,1,95374549
2010,NUTS,2010,AT3,1,24058825
2010,NUTS,2010,BE1,1,29285593
2010,NUTS,2010,BE2,1,71043580
2010,NUTS,2010,BE3,1,16229929
2010,NUTS,2010,BG3,1,78010986
2010,NUTS,2010,BG4,1,65756341
2010,NUTS,2010,CH0,1,86958404
2010,NUTS,2010,CY0,1,45967733
2010,NUTS,2010,CZ0,1,66551906
2010,NUTS,2010,DE1,1,44820440
2010,NUTS,2010,DE2,1,77945400
2010,NUTS,2010,DE3,1,37326338
2010,NUTS,2010,DE4,1,64639504
2010,NUTS,2010,DE5,1,25169856
2010,NUTS,2010,DE6,1,725625
2010,NUTS,2010,DE7,1,63737552
2010,NUTS,2010,DE8,1,84923166
2010,NUTS,2010,DE9,1,31213597
2010,NUTS,2010,DEA,1,49231639
2010,NUTS,2010,DEB,1,19725752
2010,NUTS,2010,DEC,1,72704629
2010,NUTS,2010,DED,1,87539924
2010,NUTS,2010,DEE,1,31350413
2010,NUTS,2010,DEF,1,45552385
2010,NUTS,2010,DEG,1,46003515
2010,NUTS,2010,DK0,1,49666970
2010,NUTS,2010,EE0,1,29099613
2010,NUTS,2010,EL1,1,21668789
2010,NUTS,2010,EL2,1,27401196
2010,NUTS,2010,EL3,1,71142776
2010,NUTS,2010,EL4,1,66160993
2010,NUTS,2010,ES1,1,21901639
2010,NUTS,2010,ES2,1,95794231
2010,NUTS,2010,ES3,1,54136362
2010,NUTS,2010,ES4,1,89144053
2010,NUTS,2010,ES5,1,41224714
2010,NUTS,2010,ES6,1,75885094
2010,NUTS,2010,ES7,1,92109645
2010,NUTS,2010,FI1,1,37327561
2010,NUTS,2010,FI2,1,24549680
2010,NUTS,2010,FR1,1,50833853
2010,NUTS,2010,FR2,1,28134432
2010,NUTS,2010,FR3,1,37723333
2010,NUTS,2010,FR4,1,82606515
2010,NUTS,2010,FR5,1,11805847
2010,NUTS,2010,FR6,1,33041248
2010,NUTS,2010,FR7,1,3204539
2010,NUTS,2010,FR8,1,12654257
2010,NUTS,2010,FR9,1,72403763
2010,NUTS,2010,HR0,1,20738918
2010,NUTS,2010,HU1,1,99560329
2010,NUTS,2010,HU2,1,55870949
2010,NUTS,2010,HU3,1,22415545
2010,NUTS,2010,IE0,1,67866889
2010,NUTS,2010,IS0,1,74175176
2010,NUTS,2010,ITC,1,60789111
2010,NUTS,2010,ITF,1,72197860
2010,NUTS,2010,ITG,1,72331186
2010,NUTS,2010,ITH,1,61711740
2010,NUTS,2010,ITI,1,74849386
2010,NUTS,2010,LI0,1,99377745
2010,NUTS,2010,LT0,1,18404728
2010,NUTS,2010,LU0,1,50403508
2010,NUTS,2010,LV0,1,1454995
2010,NUTS,2010,ME0,1,17448535
2010,NUTS,2010,MK0,1,39701339
2010,NUTS,2010,MT0,1,86488587
2010,NUTS,2010,NL1,1,18450021
2010,NUTS,2010,NL2,1,96376588
2010,NUTS,2010,NL3,1,65217709
2010,NUTS,2010,NL4,1,19688063
2010,NUTS,2010,NO0,1,2828275
2010,NUTS,2010,N_A,1,58571598
2010,NUTS,2010,PL1,1,82351251
2010,NUTS,2010,PL2,1,71795470
2010,NUTS,2010,PL3,1,79582431
2010,NUTS,2010,PL4,1,69641240
2010,NUTS,2010,PL5,1,98464578
2010,NUTS,2010,PL6,1,67817322
2010,NUTS,2010,PT1,1,24313667
2010,NUTS,2010,PT2,1,12643794
2010,NUTS,2010,PT3,1,94499003
2010,NUTS,2010,RO1,1,33492106
2010,NUTS,2010,RO2,1,26599452
2010,NUTS,2010,RO3,1,67850148
2010,NUTS,2010,RO4,1,6148186
2010,NUTS,2010,SE1,1,85059266
2010,NUTS,2010,SE2,1,87334485
2010,NUTS,2010,SE3,1,55178152
2010,NUTS,2010,SI0,1,85338589
2010,NUTS,2010,SK0,1,49611882
2010,NUTS,2010,TR1,1,67765290
2010,NUTS,2010,TR2,1,20741541
2010,NUTS,2010,TR3,1,69747834
2010,NUTS,2010,TR4,1,63128780
2010,NUTS,2010,TR5,1,29964171
2010,NUTS,2010,TR6,1,14886168
2010,NUTS,2010,TR7,1,59470135
2010,NUTS,2010,TR8,1,16946919
2010,NUTS,2010,TR9,1,53542680
2010,NUTS,2010,TRA,1,58586506
2010,NUTS,2010,TRB,1,28979096
2010,NUTS,2010,TRC,1,91728433
2010,NUTS,2010,UKC,1,35303100
2010,NUTS,2010,UKD,1,78729916
2010,NUTS,2010,UKE,1,15066393
2010,NUTS,2010,UKF,1,87008746
2010,NUTS,2010,UKG,1,3934804
2010,NUTS,2010,UKH,1,52893342
2010,NUTS,2010,UKI,1,46356220
2010,NUTS,2010,UKJ,1,25989733
2010,NUTS,2010,UKK,1,34633131
2010,NUTS,2010,UKL,1,67883784
2010,NUTS,2010,UKM,1,992728
2010,NUTS,2010,UKN,1,91549797
2010,NUTS,2010,AT11,2,83689709
2010,NUTS,2010,AT12,2,4531384
2010,NUTS,2010,AT13,2,70500371
2010,NUTS,2010,AT21,2,99661446
2010,NUTS,2010,AT22,2,13700359
2010,NUTS,2010,AT31,2,99221006
2010,NUTS,2010,AT32,2,975299
2010,NUTS,2010,AT33,2,82070542
2010,NUTS,2010,AT34,2,44510046
2010,NUTS,2010,BE10,2,8093355
2010,NUTS,2010,BE21,2,64115727
2010,NUTS,2010,BE22,2,49876025
2010,NUTS,2010,BE23,2,82459426
2010,NUTS,2010,BE24,2,6004891
2010,NUTS,2010,BE25,2,74715066
2010,NUTS,2010,BE31,2,2366782
2010,NUTS,2010,BE32,2,37998951
2010,NUTS,2010,BE33,2,17707478
2010,NUTS,2010,BE34,2,38461726
2010,NUTS,2010,BE35,2,49918590
2010,NUTS,2010,BG31,2,37102203
2010,NUTS,2010,BG32,2,36089790
2010,NUTS,2010,BG33,2,42545506
2010,NUTS,2010,BG34,2,30082590
2010,NUTS,2010,BG41,2,76388905
2010,NUTS,2010,BG42,2,49993109
2010,NUTS,2010,CH01,2,5875576
2010,NUTS,2010,CH02,2,77993915
