year,region_type,region_year_spec,region_id,region_level,dokha
2010,NUTS,2010,AT,0,558
2010,NUTS,2010,BE,0,383
2010,NUTS,2010,BG,0,283
2010,NUTS,2010,CH,0,423
2010,NUTS,2010,CY,0,453
2010,NUTS,2010,CZ,0,49
2010,NUTS,2010,DE,0,401
2010,NUTS,2010,DK,0,502
2010,NUTS,2010,EE,0,937
2010,NUTS,2010,EL,0,481
2010,NUTS,2010,ES,0,719
2010,NUTS,2010,FI,0,836
2010,NUTS,2010,FR,0,579
2010,NUTS,2010,HR,0,53
2010,NUTS,2010,HU,0,35
2010,NUTS,2010,IE,0,297
2010,NUTS,2010,IS,0,113
2010,NUTS,2010,IT,0,796
2010,NUTS,2010,LI,0,649
2010,NUTS,2010,LT,0,28
2010,NUTS,2010,LU,0,114
2010,NUTS,2010,LV,0,595
2010,NUTS,2010,ME,0,504
2010,NUTS,2010,MK,0,684
2010,NUTS,2010,MT,0,430
2010,NUTS,2010,NL,0,355
2010,NUTS,2010,NO,0,175
2010,NUTS,2010,PL,0,538
2010,NUTS,2010,PT,0,234
2010,NUTS,2010,RO,0,482
2010,NUTS,2010,SE,0,940
2010,NUTS,2010,SI,0,702
2010,NUTS,2010,SK,0,254
2010,NUTS,2010,TR,0,54
2010,NUTS,2010,UK,0,76
2010,NUTS,2010,AT1,1,157
2010,NUTS,2010,AT2,1,789
2010,NUTS,2010,AT3,1,539
2010,NUTS,2010,BE1,1,671
2010,NUTS,2010,BE2,1,143
2010,NUTS,2010,BE3,1,256
2010,NUTS,2010,BG3,1,819
2010,NUTS,2010,BG4,1,951
2010,NUTS,2010,CH0,1,656
2010,NUTS,2010,CY0,1,987
2010,NUTS,2010,CZ0,1,252
2010,NUTS,2010,DE1,1,392
2010,NUTS,2010,DE2,1,730
2010,NUTS,2010,DE3,1,67
2010,NUTS,2010,DE4,1,569
2010,NUTS,2010,DE5,1,711
2010,NUTS,2010,DE6,1,775
2010,NUTS,2010,DE7,1,645
2010,NUTS,2010,DE8,1,822
2010,NUTS,2010,DE9,1,157
2010,NUTS,2010,DEA,1,66
2010,NUTS,2010,DEB,1,607
2010,NUTS,2010,DEC,1,283
2010,NUTS,2010,DED,1,185
2010,NUTS,2010,DEE,1,933
2010,NUTS,2010,DEF,1,159
2010,NUTS,2010,DEG,1,110
2010,NUTS,2010,DK0,1,908
2010,NUTS,2010,EE0,1,430
2010,NUTS,2010,EL1,1,457
2010,NUTS,2010,EL2,1,556
2010,NUTS,2010,EL3,1,618
2010,NUTS,2010,EL4,1,855
2010,NUTS,2010,ES1,1,553
2010,NUTS,2010,ES2,1,12
2010,NUTS,2010,ES3,1,53
2010,NUTS,2010,ES4,1,336
2010,NUTS,2010,ES5,1,435
2010,NUTS,2010,ES6,1,212
2010,NUTS,2010,ES7,1,502
2010,NUTS,2010,FI1,1,277
2010,NUTS,2010,FI2,1,940
2010,NUTS,2010,FR1,1,678
2010,NUTS,2010,FR2,1,662
2010,NUTS,2010,FR3,1,373
2010,NUTS,2010,FR4,1,964
2010,NUTS,2010,FR5,1,617
2010,NUTS,2010,FR6,1,371
2010,NUTS,2010,FR7,1,990
2010,NUTS,2010,FR8,1,375
2010,NUTS,2010,FR9,1,390
2010,NUTS,2010,HR0,1,167
2010,NUTS,2010,HU1,1,300
2010,NUTS,2010,HU2,1,972
2010,NUTS,2010,HU3,1,893
2010,NUTS,2010,IE0,1,338
2010,NUTS,2010,IS0,1,62
2010,NUTS,2010,ITC,1,273
2010,NUTS,2010,ITF,1,816
2010,NUTS,2010,ITG,1,729
2010,NUTS,2010,ITH,1,713
2010,NUTS,2010,ITI,1,48
2010,NUTS,2010,LI0,1,697
2010,NUTS,2010,LT0,1,331
2010,NUTS,2010,LU0,1,8
2010,NUTS,2010,LV0,1,60
2010,NUTS,2010,ME0,1,406
2010,NUTS,2010,MK0,1,305
2010,NUTS,2010,MT0,1,771
2010,NUTS,2010,NL1,1,397
2010,NUTS,2010,NL2,1,980
2010,NUTS,2010,NL3,1,924
2010,NUTS,2010,NL4,1,816
2010,NUTS,2010,NO0,1,795
2010,NUTS,2010,N_A,1,951
2010,NUTS,2010,PL1,1,732
2010,NUTS,2010,PL2,1,855
2010,NUTS,2010,PL3,1,632
2010,NUTS,2010,PL4,1,730
2010,NUTS,2010,PL5,1,559
2010,NUTS,2010,PL6,1,394
2010,NUTS,2010,PT1,1,140
2010,NUTS,2010,PT2,1,772
2010,NUTS,2010,PT3,1,410
2010,NUTS,2010,RO1,1,455
2010,NUTS,2010,RO2,1,889
2010,NUTS,2010,RO3,1,719
2010,NUTS,2010,RO4,1,675
2010,NUTS,2010,SE1,1,147
2010,NUTS,2010,SE2,1,4
2010,NUTS,2010,SE3,1,135
2010,NUTS,2010,SI0,1,922
2010,NUTS,2010,SK0,1,419
2010,NUTS,2010,TR1,1,622
2010,NUTS,2010,TR2,1,162
2010,NUTS,2010,TR3,1,595
2010,NUTS,2010,TR4,1,946
2010,NUTS,2010,TR5,1,620
2010,NUTS,2010,TR6,1,640
2010,NUTS,2010,TR7,1,310
2010,NUTS,2010,TR8,1,506
2010,NUTS,2010,TR9,1,741
2010,NUTS,2010,TRA,1,474
2010,NUTS,2010,TRB,1,56
2010,NUTS,2010,TRC,1,883
2010,NUTS,2010,UKC,1,661
2010,NUTS,2010,UKD,1,580
2010,NUTS,2010,UKE,1,449
2010,NUTS,2010,UKF,1,838
2010,NUTS,2010,UKG,1,716
2010,NUTS,2010,UKH,1,451
2010,NUTS,2010,UKI,1,991
2010,NUTS,2010,UKJ,1,808
2010,NUTS,2010,UKK,1,398
2010,NUTS,2010,UKL,1,142
2010,NUTS,2010,UKM,1,215
2010,NUTS,2010,UKN,1,552
2010,NUTS,2010,AT11,2,60
2010,NUTS,2010,AT12,2,273
2010,NUTS,2010,AT13,2,60
2010,NUTS,2010,AT21,2,993
2010,NUTS,2010,AT22,2,542
2010,NUTS,2010,AT31,2,996
2010,NUTS,2010,AT32,2,643
2010,NUTS,2010,AT33,2,712
2010,NUTS,2010,AT34,2,315
2010,NUTS,2010,BE10,2,417
2010,NUTS,2010,BE21,2,487
2010,NUTS,2010,BE22,2,617
2010,NUTS,2010,BE23,2,974
2010,NUTS,2010,BE24,2,274
2010,NUTS,2010,BE25,2,434
2010,NUTS,2010,BE31,2,922
2010,NUTS,2010,BE32,2,93
2010,NUTS,2010,BE33,2,59
2010,NUTS,2010,BE34,2,397
2010,NUTS,2010,BE35,2,814
2010,NUTS,2010,BG31,2,54
2010,NUTS,2010,BG32,2,993
2010,NUTS,2010,BG33,2,171
2010,NUTS,2010,BG34,2,465
2010,NUTS,2010,BG41,2,168
2010,NUTS,2010,BG42,2,723
2010,NUTS,2010,CH01,2,469
2010,NUTS,2010,CH02,2,47
2010,NUTS,2010,CH03,2,11
2010,NUTS,2010,CH04,2,188
2010,NUTS,2010,CH05,2,43
2010,NUTS,2010,CH06,2,616
2010,NUTS,2010,CH07,2,82
2010,NUTS,2010,CY00,2,306
2010,NUTS,2010,CZ01,2,272
2010,NUTS,2010,CZ02,2,190
2010,NUTS,2010,CZ03,2,203
2010,NUTS,2010,CZ04,2,372
2010,NUTS,2010,CZ05,2,181
2010,NUTS,2010,CZ06,2,931
