year,region_type,region_year_spec,region_id,region_level,inaca
2006,NUTS,2006,AT,0,684
2006,NUTS,2006,BE,0,916
2006,NUTS,2006,BG,0,556
2006,NUTS,2006,CH,0,589
2006,NUTS,2006,CY,0,360
2006,NUTS,2006,CZ,0,157
2006,NUTS,2006,DE,0,61
2006,NUTS,2006,DK,0,145
2006,NUTS,2006,EE,0,595
2006,NUTS,2006,ES,0,1000
2006,NUTS,2006,FI,0,50
2006,NUTS,2006,FR,0,24
2006,NUTS,2006,GR,0,766
2006,NUTS,2006,HR,0,395
2006,NUTS,2006,HU,0,787
2006,NUTS,2006,IE,0,625
2006,NUTS,2006,IS,0,642
2006,NUTS,2006,IT,0,380
2006,NUTS,2006,LI,0,312
2006,NUTS,2006,LT,0,266
2006,NUTS,2006,LU,0,798
2006,NUTS,2006,LV,0,415
2006,NUTS,2006,ME,0,441
2006,NUTS,2006,MK,0,892
2006,NUTS,2006,MT,0,237
2006,NUTS,2006,NL,0,5
2006,NUTS,2006,NO,0,498
2006,NUTS,2006,PL,0,345
2006,NUTS,2006,PT,0,228
2006,NUTS,2006,RO,0,243
2006,NUTS,2006,SE,0,221
2006,NUTS,2006,SI,0,490
2006,NUTS,2006,SK,0,17
2006,NUTS,2006,TR,0,346
2006,NUTS,2006,UK,0,655
2006,NUTS,2006,AT1,1,877
2006,NUTS,2006,AT2,1,751
2006,NUTS,2006,AT3,1,16
2006,NUTS,2006,BE1,1,778
2006,NUTS,2006,BE2,1,308
2006,NUTS,2006,BE3,1,812
2006,NUTS,2006,BG3,1,955
2006,NUTS,2006,BG4,1,682
2006,NUTS,2006,CH0,1,819
2006,NUTS,2006,CY0,1,16
2006,NUTS,2006,CZ0,1,917
2006,NUTS,2006,DE1,1,567
2006,NUTS,2006,DE2,1,224
2006,NUTS,2006,DE3,1,322
2006,NUTS,2006,DE4,1,703
2006,NUTS,2006,DE5,1,243
2006,NUTS,2006,DE6,1,731
2006,NUTS,2006,DE7,1,320
2006,NUTS,2006,DE8,1,780
2006,NUTS,2006,DE9,1,410
2006,NUTS,2006,DEA,1,400
2006,NUTS,2006,DEB,1,795
2006,NUTS,2006,DEC,1,150
2006,NUTS,2006,DED,1,290
2006,NUTS,2006,DEE,1,579
2006,NUTS,2006,DEF,1,114
2006,NUTS,2006,DEG,1,131
2006,NUTS,2006,DK0,1,612
2006,NUTS,2006,EE0,1,156
2006,NUTS,2006,ES1,1,720
2006,NUTS,2006,ES2,1,777
2006,NUTS,2006,ES3,1,602
2006,NUTS,2006,ES4,1,25
2006,NUTS,2006,ES5,1,577
2006,NUTS,2006,ES6,1,980
2006,NUTS,2006,ES7,1,883
2006,NUTS,2006,FI1,1,873
2006,NUTS,2006,FI2,1,954
2006,NUTS,2006,FR1,1,117
2006,NUTS,2006,FR2,1,572
2006,NUTS,2006,FR3,1,356
2006,NUTS,2006,FR4,1,64
2006,NUTS,2006,FR5,1,437
2006,NUTS,2006,FR6,1,790
2006,NUTS,2006,FR7,1,857
2006,NUTS,2006,FR8,1,110
2006,NUTS,2006,FR9,1,451
2006,NUTS,2006,GR1,1,683
2006,NUTS,2006,GR2,1,845
2006,NUTS,2006,GR3,1,445
2006,NUTS,2006,GR4,1,493
2006,NUTS,2006,HR0,1,150
2006,NUTS,2006,HU1,1,826
2006,NUTS,2006,HU2,1,21
2006,NUTS,2006,HU3,1,982
2006,NUTS,2006,IE0,1,286
2006,NUTS,2006,IS0,1,87
2006,NUTS,2006,ITC,1,243
2006,NUTS,2006,ITD,1,744
2006,NUTS,2006,ITE,1,440
2006,NUTS,2006,ITF,1,556
2006,NUTS,2006,ITG,1,245
2006,NUTS,2006,LI0,1,200
2006,NUTS,2006,LT0,1,332
2006,NUTS,2006,LU0,1,294
2006,NUTS,2006,LV0,1,361
2006,NUTS,2006,ME0,1,957
2006,NUTS,2006,MK0,1,762
2006,NUTS,2006,MT0,1,227
2006,NUTS,2006,NL1,1,10
2006,NUTS,2006,NL2,1,388
2006,NUTS,2006,NL3,1,618
2006,NUTS,2006,NL4,1,58
2006,NUTS,2006,NO0,1,736
2006,NUTS,2006,PL1,1,656
2006,NUTS,2006,PL2,1,850
2006,NUTS,2006,PL3,1,168
2006,NUTS,2006,PL4,1,128
2006,NUTS,2006,PL5,1,100
2006,NUTS,2006,PL6,1,442
2006,NUTS,2006,PT1,1,931
2006,NUTS,2006,PT2,1,587
2006,NUTS,2006,PT3,1,883
2006,NUTS,2006,RO1,1,726
2006,NUTS,2006,RO2,1,23
2006,NUTS,2006,RO3,1,903
2006,NUTS,2006,RO4,1,975
2006,NUTS,2006,SE1,1,56
2006,NUTS,2006,SE2,1,717
2006,NUTS,2006,SE3,1,282
2006,NUTS,2006,SI0,1,865
2006,NUTS,2006,SK0,1,264
2006,NUTS,2006,TR1,1,434
2006,NUTS,2006,TR2,1,483
2006,NUTS,2006,TR3,1,488
2006,NUTS,2006,TR4,1,128
2006,NUTS,2006,TR5,1,29
2006,NUTS,2006,TR6,1,690
2006,NUTS,2006,TR7,1,677
2006,NUTS,2006,TR8,1,518
2006,NUTS,2006,TR9,1,884
2006,NUTS,2006,TRA,1,488
2006,NUTS,2006,TRB,1,92
2006,NUTS,2006,TRC,1,824
2006,NUTS,2006,UKC,1,205
2006,NUTS,2006,UKD,1,49
2006,NUTS,2006,UKE,1,348
2006,NUTS,2006,UKF,1,343
2006,NUTS,2006,UKG,1,772
2006,NUTS,2006,UKH,1,121
2006,NUTS,2006,UKI,1,478
2006,NUTS,2006,UKJ,1,992
2006,NUTS,2006,UKK,1,507
2006,NUTS,2006,UKL,1,451
2006,NUTS,2006,UKM,1,734
2006,NUTS,2006,UKN,1,173
2006,NUTS,2006,AT11,2,464
2006,NUTS,2006,AT12,2,986
2006,NUTS,2006,AT13,2,126
2006,NUTS,2006,AT21,2,131
2006,NUTS,2006,AT22,2,522
2006,NUTS,2006,AT31,2,709
2006,NUTS,2006,AT32,2,286
2006,NUTS,2006,AT33,2,584
2006,NUTS,2006,AT34,2,591
2006,NUTS,2006,BE10,2,526
2006,NUTS,2006,BE21,2,881
2006,NUTS,2006,BE22,2,418
2006,NUTS,2006,BE23,2,997
2006,NUTS,2006,BE24,2,586
2006,NUTS,2006,BE25,2,521
2006,NUTS,2006,BE31,2,454
2006,NUTS,2006,BE32,2,386
2006,NUTS,2006,BE33,2,133
2006,NUTS,2006,BE34,2,840
2006,NUTS,2006,BE35,2,456
2006,NUTS,2006,BG31,2,583
2006,NUTS,2006,BG32,2,658
2006,NUTS,2006,BG33,2,606
2006,NUTS,2006,BG34,2,604
2006,NUTS,2006,BG41,2,785
2006,NUTS,2006,BG42,2,915
2006,NUTS,2006,CH01,2,527
2006,NUTS,2006,CH02,2,254
2006,NUTS,2006,CH03,2,820
2006,NUTS,2006,CH04,2,749
2006,NUTS,2006,CH05,2,66
2006,NUTS,2006,CH06,2,14
2006,NUTS,2006,CH07,2,573
2006,NUTS,2006,CY00,2,552
2006,NUTS,2006,CZ01,2,855
2006,NUTS,2006,CZ02,2,827
2006,NUTS,2006,CZ03,2,357
2006,NUTS,2006,CZ04,2,602
2006,NUTS,2006,CZ05,2,605
2006,NUTS,2006,CZ06,2,570
2006,NUTS,2006,CZ07,2,27
2006,NUTS,2006,CZ08,2,569
2006,NUTS,2006,DE11,2,413
2006,NUTS,2006,DE12,2,663
2006,NUTS,2006,DE13,2,510
2006,NUTS,2006,DE14,2,738
2006,NUTS,2006,DE21,2,490
2006,NUTS,2006,DE22,2,908
2006,NUTS,2006,DE23,2,796
2006,NUTS,2006,DE24,2,580
2006,NUTS,2006,DE25,2,952
2006,NUTS,2006,DE26,2,910
2006,NUTS,2006,DE27,2,479
2006,NUTS,2006,DE30,2,906
2006,NUTS,2006,DE41,2,531
2006,NUTS,2006,DE42,2,989
2006,NUTS,2006,DE50,2,835
2006,NUTS,2006,DE60,2,702
2006,NUTS,2006,DE71,2,509
2006,NUTS,2006,DE72,2,675
2006,NUTS,2006,DE73,2,928
2006,NUTS,2006,DE80,2,907
2006,NUTS,2006,DE91,2,695
2006,NUTS,2006,DE92,2,416
2006,NUTS,2006,DE93,2,587
2006,NUTS,2006,DE94,2,542
2006,NUTS,2006,DEA1,2,923
2006,NUTS,2006,DEA2,2,842
2006,NUTS,2006,DEA3,2,698
2006,NUTS,2006,DEA4,2,110
2006,NUTS,2006,DEA5,2,282
2006,NUTS,2006,DEB1,2,658
2006,NUTS,2006,DEB2,2,496
2006,NUTS,2006,DEB3,2,83
2006,NUTS,2006,DEC0,2,495
2006,NUTS,2006,DED1,2,86
2006,NUTS,2006,DED2,2,104
2006,NUTS,2006,DED3,2,393
2006,NUTS,2006,DEE0,2,162
2006,NUTS,2006,DEF0,2,626
2006,NUTS,2006,DEG0,2,89
2006,NUTS,2006,DK01,2,939
2006,NUTS,2006,DK02,2,778
2006,NUTS,2006,DK03,2,747
2006,NUTS,2006,DK04,2,786
2006,NUTS,2006,DK05,2,453
2006,NUTS,2006,EE00,2,494
2006,NUTS,2006,ES11,2,48
2006,NUTS,2006,ES12,2,664
2006,NUTS,2006,ES13,2,976
2006,NUTS,2006,ES21,2,288
2006,NUTS,2006,ES22,2,695
2006,NUTS,2006,ES23,2,81
2006,NUTS,2006,ES24,2,919
2006,NUTS,2006,ES30,2,201
2006,NUTS,2006,ES41,2,884
2006,NUTS,2006,ES42,2,106
2006,NUTS,2006,ES43,2,112
2006,NUTS,2006,ES51,2,115
2006,NUTS,2006,ES52,2,616
2006,NUTS,2006,ES53,2,598
2006,NUTS,2006,ES61,2,398
2006,NUTS,2006,ES62,2,808
2006,NUTS,2006,ES63,2,955
2006,NUTS,2006,ES64,2,412
2006,NUTS,2006,ES70,2,171
2006,NUTS,2006,FI13,2,113
2006,NUTS,2006,FI18,2,157
2006,NUTS,2006,FI19,2,493
2006,NUTS,2006,FI1A,2,190
2006,NUTS,2006,FI20,2,555
2006,NUTS,2006,FR10,2,991
2006,NUTS,2006,FR21,2,862
2006,NUTS,2006,FR22,2,909
2006,NUTS,2006,FR23,2,892
2006,NUTS,2006,FR24,2,360
2006,NUTS,2006,FR25,2,103
2006,NUTS,2006,FR26,2,611
2006,NUTS,2006,FR30,2,515
2006,NUTS,2006,FR41,2,240
2006,NUTS,2006,FR42,2,49
2006,NUTS,2006,FR43,2,817
2006,NUTS,2006,FR51,2,563
2006,NUTS,2006,FR52,2,458
2006,NUTS,2006,FR53,2,265
2006,NUTS,2006,FR61,2,1000
2006,NUTS,2006,FR62,2,915
2006,NUTS,2006,FR63,2,402
2006,NUTS,2006,FR71,2,134
2006,NUTS,2006,FR72,2,869
2006,NUTS,2006,FR81,2,809
2006,NUTS,2006,FR82,2,342
2006,NUTS,2006,FR83,2,294
2006,NUTS,2006,FR91,2,631
2006,NUTS,2006,FR92,2,669
2006,NUTS,2006,FR93,2,32
2006,NUTS,2006,FR94,2,420
2006,NUTS,2006,GR11,2,317
2006,NUTS,2006,GR12,2,241
2006,NUTS,2006,GR13,2,775
2006,NUTS,2006,GR14,2,116
2006,NUTS,2006,GR21,2,620
2006,NUTS,2006,GR22,2,737
2006,NUTS,2006,GR23,2,743
2006,NUTS,2006,GR24,2,268
2006,NUTS,2006,GR25,2,339
2006,NUTS,2006,GR30,2,839
2006,NUTS,2006,GR41,2,542
2006,NUTS,2006,GR42,2,422
2006,NUTS,2006,GR43,2,347
2006,NUTS,2006,HR01,2,629
2006,NUTS,2006,HR02,2,234
2006,NUTS,2006,HR03,2,353
2006,NUTS,2006,HU10,2,749
2006,NUTS,2006,HU21,2,223
2006,NUTS,2006,HU22,2,165
2006,NUTS,2006,HU23,2,310
2006,NUTS,2006,HU31,2,767
2006,NUTS,2006,HU32,2,778
2006,NUTS,2006,HU33,2,16
2006,NUTS,2006,IE01,2,867
2006,NUTS,2006,IE02,2,476
2006,NUTS,2006,IS00,2,530
2006,NUTS,2006,ITC1,2,176
2006,NUTS,2006,ITC2,2,32
2006,NUTS,2006,ITC3,2,333
2006,NUTS,2006,ITC4,2,642
2006,NUTS,2006,ITD1,2,730
2006,NUTS,2006,ITD2,2,527
2006,NUTS,2006,ITD3,2,116
2006,NUTS,2006,ITD4,2,568
2006,NUTS,2006,ITD5,2,234
2006,NUTS,2006,ITE1,2,6
2006,NUTS,2006,ITE2,2,431
2006,NUTS,2006,ITE3,2,179
2006,NUTS,2006,ITE4,2,718
2006,NUTS,2006,ITF1,2,754
2006,NUTS,2006,ITF2,2,981
2006,NUTS,2006,ITF3,2,330
2006,NUTS,2006,ITF4,2,961
2006,NUTS,2006,ITF5,2,293
2006,NUTS,2006,ITF6,2,638
2006,NUTS,2006,ITG1,2,872
2006,NUTS,2006,ITG2,2,76
2006,NUTS,2006,LI00,2,309
2006,NUTS,2006,LT00,2,264
2006,NUTS,2006,LU00,2,486
2006,NUTS,2006,LV00,2,726
2006,NUTS,2006,ME00,2,273
2006,NUTS,2006,MK00,2,786
2006,NUTS,2006,MT00,2,173
2006,NUTS,2006,NL11,2,447
2006,NUTS,2006,NL12,2,786
2006,NUTS,2006,NL13,2,39
2006,NUTS,2006,NL21,2,399
2006,NUTS,2006,NL22,2,28
2006,NUTS,2006,NL23,2,475
2006,NUTS,2006,NL31,2,201
2006,NUTS,2006,NL32,2,874
2006,NUTS,2006,NL33,2,644
2006,NUTS,2006,NL34,2,653
2006,NUTS,2006,NL41,2,779
2006,NUTS,2006,NL42,2,793
2006,NUTS,2006,NO01,2,494
2006,NUTS,2006,NO02,2,385
2006,NUTS,2006,NO03,2,139
2006,NUTS,2006,NO04,2,158
2006,NUTS,2006,NO05,2,416
2006,NUTS,2006,NO06,2,190
2006,NUTS,2006,NO07,2,40
2006,NUTS,2006,PL11,2,43
2006,NUTS,2006,PL12,2,45
2006,NUTS,2006,PL21,2,85
2006,NUTS,2006,PL22,2,405
2006,NUTS,2006,PL31,2,9
2006,NUTS,2006,PL32,2,739
2006,NUTS,2006,PL33,2,657
2006,NUTS,2006,PL34,2,199
2006,NUTS,2006,PL41,2,2
2006,NUTS,2006,PL42,2,818
2006,NUTS,2006,PL43,2,368
2006,NUTS,2006,PL51,2,792
2006,NUTS,2006,PL52,2,626
2006,NUTS,2006,PL61,2,100
2006,NUTS,2006,PL62,2,321
2006,NUTS,2006,PL63,2,581
2006,NUTS,2006,PT11,2,111
2006,NUTS,2006,PT15,2,534
2006,NUTS,2006,PT16,2,919
2006,NUTS,2006,PT17,2,234
2006,NUTS,2006,PT18,2,146
2006,NUTS,2006,PT20,2,543
2006,NUTS,2006,PT30,2,314
2006,NUTS,2006,RO11,2,873
2006,NUTS,2006,RO12,2,33
2006,NUTS,2006,RO21,2,127
2006,NUTS,2006,RO22,2,126
2006,NUTS,2006,RO31,2,649
2006,NUTS,2006,RO32,2,232
2006,NUTS,2006,RO41,2,604
2006,NUTS,2006,RO42,2,537
2006,NUTS,2006,SE11,2,649
2006,NUTS,2006,SE12,2,299
2006,NUTS,2006,SE21,2,712
2006,NUTS,2006,SE22,2,66
2006,NUTS,2006,SE23,2,676
2006,NUTS,2006,SE31,2,527
2006,NUTS,2006,SE32,2,981
2006,NUTS,2006,SE33,2,789
2006,NUTS,2006,SI01,2,540
2006,NUTS,2006,SI02,2,314
2006,NUTS,2006,SK01,2,134
2006,NUTS,2006,SK02,2,929
2006,NUTS,2006,SK03,2,961
2006,NUTS,2006,SK04,2,992
2006,NUTS,2006,TR10,2,775
2006,NUTS,2006,TR21,2,631
2006,NUTS,2006,TR22,2,405
