oldId	newId
EL115	EL515
EL223	EL623
FR94	FRA4
FR940	FRA40
EL11	EL51
EL111	EL511
EL112	EL512
EL113	EL513
EL114	EL514
EL12	EL52
EL121	EL521
EL122	EL522
EL123	EL523
EL124	EL524
EL125	EL525
EL126	EL526
EL127	EL527
EL13	EL53
EL132	EL532
EL134	EL533
EL21	EL54
EL212	EL542
EL213	EL543
EL14	EL61
EL142	EL612
EL143	EL613
EL22	EL62
EL221	EL621
EL222	EL622
EL224	EL624
EL23	EL63
EL231	EL631
EL232	EL632
EL233	EL633
EL24	EL64
EL241	EL641
EL242	EL642
EL243	EL643
EL244	EL644
EL245	EL645
EL25	EL65
EL253	EL652
FR92	FRA2
FR920	FRA20
FR93	FRA3
FR930	FRA30
SI011	SI031
SI012	SI032
SI013	SI033
SI017	SI037
SI022	SI042
SI023	SI043
SI024	SI044
